fountaintype,position,propname,borough,fountaincount,district,point
A,"Under Tree, Just Outside Playground",Little Flower Playground,M,1,"A, Under Tree, Just Outside Playground"," (-73.98792776725037,40.71259544294418)"
A,Out in Open,Castlewood Playground,Q,1,"A, Out in Open"," (-73.72085485668941,40.749716175005034)"
B,,Prospect Park,B,1,"B,"," (-73.96376903098623,40.659168533691734)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.8469611241349,40.74766175164198)"
Double A,Out in Open,Fort Washington Park,M,2,"Double A, Out in Open"," (-73.9467194315657,40.84983826465036)"
D,"In Playground, Under Tree",The Pearly Gates,X,1,"D, In Playground, Under Tree"," (-73.84577225572814,40.83883597290466)"
Bottle Filler High Low,Just Outside Playground,Astoria Heights Playground,Q,3,"Bottle Filler High Low, Just Outside Playground"," (-73.91140937647091,40.760657842567284)"
A,"In Playground, Under Tree",Noble Playground,X,1,"A, In Playground, Under Tree"," (-73.87177825742688,40.836738937221796)"
D,Near Ballfield,Brownsville Playground,B,1,"D, Near Ballfield"," (-73.90248423793292,40.65649508203361)"
E,Out in Open,Vesuvio Playground,M,1,"E, Out in Open"," (-74.00248687473577,40.72525603427687)"
Trough,Out in Open,Rockaway Beach Boardwalk,Q,1,"Trough, Out in Open"," (-73.80641666947655,40.58588326936488)"
A,In Playground,Crotona Park,X,1,"A, In Playground"," (-73.89741589654075,40.841089253616026)"
CS Concrete,In Playground,Tall Oak Playground,Q,1,"CS Concrete, In Playground"," (-73.75824593749856,40.746288606078394)"
A,"Near Ballfield, Just Outside Playground",St. Nicholas Park,M,1,"A, Near Ballfield, Just Outside Playground"," (-73.94885832770343,40.815938431326316)"
C,"Under Tree, Near Ballfield",Sara D. Roosevelt Park,M,1,"C, Under Tree, Near Ballfield"," (-73.99335012018906,40.718638492253255)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.95852884046842,40.57528917755436)"
CS Metal,,Lyons Square Playground,X,1,"CS Metal,"," (-73.88830341387096,40.82261877173914)"
A,In Playground,Slope Park Playground,B,1,"A, In Playground"," (-73.98931749455667,40.661317622131314)"
